,home_win_loss_percentage,home_point_diff_total,home_win_loss_at_home_percentage,home_prev_eight_game_percentage,away_win_loss_percentage,away_point_diff_total,away_win_loss_at_away_percentage,away_prev_eight_game_percentage,winner
74,0.5,20,0.5,0.5,0.4,-34,0.5,0.4,1
75,0.25,-25,0.5,0.25,0.4,-4,0.5,0.4,1
76,0.8,30,0.6666666666666666,0.8,0.8,23,1.0,0.8,1
77,0.2,-52,0.0,0.2,1.0,37,1.0,1.0,0
78,0.6,-7,0.6666666666666666,0.6,0.8,24,0.6666666666666666,0.8,0
79,0.4,-6,0.6666666666666666,0.4,0.6,6,0.3333333333333333,0.6,0
80,0.25,-28,0.0,0.25,0.25,-20,0.3333333333333333,0.25,0
81,0.6,-7,0.5,0.6,0.6,43,0.75,0.6,1
82,0.16666666666666666,-17,0.0,0.16666666666666666,0.6666666666666666,4,0.5,0.6666666666666666,0
83,0.25,-2,0.0,0.25,0.3333333333333333,-45,0.3333333333333333,0.3333333333333333,1
84,0.6,11,0.5,0.6,0.4,-1,0.3333333333333333,0.4,1
85,0.8333333333333334,39,1.0,0.8333333333333334,0.4,-3,0.6666666666666666,0.4,0
86,1.0,88,1.0,1.0,1.0,63,1.0,1.0,0
87,0.3333333333333333,-7,0.25,0.3333333333333333,1.0,39,1.0,1.0,1
88,0.5,-19,0.0,0.5,0.5,9,0.6666666666666666,0.5,0
89,0.6,31,0.6666666666666666,0.6,0.3333333333333333,-34,0.3333333333333333,0.3333333333333333,1
90,0.4,-22,0.6666666666666666,0.4,0.3333333333333333,-29,0.5,0.3333333333333333,0
91,0.16666666666666666,-54,0.5,0.16666666666666666,0.8333333333333334,26,1.0,0.8333333333333334,1
92,0.8333333333333334,49,1.0,0.8333333333333334,0.0,-58,0.0,0.0,1
93,0.6666666666666666,29,0.5,0.6666666666666666,0.6666666666666666,21,0.75,0.6666666666666666,0
94,0.5,-9,0.5,0.5,1.0,74,1.0,1.0,1
95,0.5,39,0.0,0.5,0.2,-37,0.3333333333333333,0.2,1
96,0.0,-74,0.0,0.0,0.5,-2,0.75,0.5,1
97,0.4,-11,0.5,0.4,0.6,10,0.5,0.6,1
98,0.14285714285714285,-24,0.25,0.14285714285714285,0.42857142857142855,-28,0.3333333333333333,0.42857142857142855,1
99,0.2857142857142857,-52,0.25,0.2857142857142857,0.4,5,1.0,0.4,0
100,0.7142857142857143,34,0.3333333333333333,0.7142857142857143,0.3333333333333333,-23,0.5,0.3333333333333333,1
101,0.6666666666666666,-3,0.75,0.6666666666666666,0.4,-20,0.6666666666666666,0.4,0
102,0.8571428571428571,81,1.0,0.8571428571428571,0.2857142857142857,-42,0.25,0.2857142857142857,1
103,0.8571428571428571,38,0.8,0.8571428571428571,0.16666666666666666,-59,0.25,0.16666666666666666,1
104,0.42857142857142855,-6,0.6666666666666666,0.42857142857142855,0.2857142857142857,-46,0.6666666666666666,0.2857142857142857,1
105,0.5714285714285714,20,0.6666666666666666,0.5714285714285714,0.7142857142857143,18,0.75,0.7142857142857143,1
